Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
,,Normal,black line,,"Vitamin B6 Deficiency, Vitamin B6 Deficiency, Vitamin A Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Normal,black line,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B9 Deficiency, Vitamin B6 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Normal,black line,Not Visible / Normal,"Vitamin B6 Deficiency, Vitamin E Deficiency, Vitamin B6 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Normal,black line,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Normal,black line,White Tongue,"Vitamin B1 Deficiency, Vitamin B3 Deficiency, Vitamin A Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Normal,clubbing,,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,clubbing,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Normal,clubbing,Not Visible / Normal,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Normal,clubbing,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Normal,clubbing,White Tongue,"Vitamin B7 Deficiency, Vitamin K Deficiency, Vitamin B12 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Normal,muehrck-e's lines,,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Normal,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin B5 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Normal,muehrck-e's lines,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin B2 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Normal,muehrck-e's lines,Swollen Red,"Vitamin D Deficiency, Vitamin B2 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Normal,muehrck-e's lines,White Tongue,"Vitamin C Deficiency, Vitamin D Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
,,Normal,onycholysis,,"Vitamin B12 Deficiency, Vitamin B2 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Normal,onycholysis,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Normal,onycholysis,Not Visible / Normal,"Vitamin K Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Normal,onycholysis,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Normal,onycholysis,White Tongue,"Vitamin B5 Deficiency, Vitamin B2 Deficiency, Vitamin B1 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Normal,terry's nail,,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,terry's nail,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin B12 Deficiency, Vitamin D Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
,,Normal,terry's nail,Not Visible / Normal,"Vitamin D Deficiency, Vitamin K Deficiency, Vitamin B7 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Normal,terry's nail,Swollen Red,"Vitamin C Deficiency, Vitamin B12 Deficiency, Vitamin B6 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Normal,terry's nail,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Normal,white spot,,"Vitamin B12 Deficiency, Vitamin B2 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Normal,white spot,Magenta Coloured Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,white spot,Not Visible / Normal,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,Normal,white spot,Swollen Red,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Normal,white spot,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,,,"Vitamin B2 Deficiency, Vitamin B12 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,Acne or Breakouts,,,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B5 Deficiency, Vitamin B7 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,Acne or Breakouts,,,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,,Swollen Red,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,Acne or Breakouts,,,White Tongue,"Vitamin B3 Deficiency, Vitamin E Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,beau's line,,"Vitamin B6 Deficiency, Vitamin B7 Deficiency, Vitamin K Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,Acne or Breakouts,,beau's line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,beau's line,Not Visible / Normal,"Vitamin B9 Deficiency, Vitamin B9 Deficiency, Vitamin E Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,beau's line,Swollen Red,"Vitamin E Deficiency, Vitamin B2 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,Acne or Breakouts,,beau's line,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,Acne or Breakouts,,black line,,"Vitamin B1 Deficiency, Vitamin K Deficiency, Vitamin C Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,Acne or Breakouts,,black line,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin K Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,Acne or Breakouts,,black line,Not Visible / Normal,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,Acne or Breakouts,,black line,Swollen Red,"Vitamin B2 Deficiency, Vitamin B2 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,Acne or Breakouts,,black line,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,Acne or Breakouts,,clubbing,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,clubbing,Magenta Coloured Tongue,"Vitamin B12 Deficiency, Vitamin K Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,Acne or Breakouts,,clubbing,Not Visible / Normal,"Vitamin K Deficiency, Vitamin E Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,clubbing,Swollen Red,"Vitamin B12 Deficiency, Vitamin B6 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,clubbing,White Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,muehrck-e's lines,,"Vitamin A Deficiency, Vitamin D Deficiency, Vitamin B9 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,Acne or Breakouts,,muehrck-e's lines,Magenta Coloured Tongue,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,Acne or Breakouts,,muehrck-e's lines,Not Visible / Normal,"Vitamin B12 Deficiency, Vitamin K Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,Acne or Breakouts,,muehrck-e's lines,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,muehrck-e's lines,White Tongue,"Vitamin C Deficiency, Vitamin A Deficiency, Vitamin B5 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,Acne or Breakouts,,onycholysis,,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,onycholysis,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin B2 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,Acne or Breakouts,,onycholysis,Not Visible / Normal,"Vitamin B1 Deficiency, Vitamin A Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,Acne or Breakouts,,onycholysis,Swollen Red,"Vitamin B1 Deficiency, Vitamin B6 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,Acne or Breakouts,,onycholysis,White Tongue,"Vitamin B3 Deficiency, Vitamin K Deficiency, Vitamin E Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,Acne or Breakouts,,terry's nail,,"Vitamin B7 Deficiency, Vitamin B9 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,Acne or Breakouts,,terry's nail,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,Acne or Breakouts,,terry's nail,Not Visible / Normal,"Vitamin K Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,Acne or Breakouts,,terry's nail,Swollen Red,"Vitamin C Deficiency, Vitamin A Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,Acne or Breakouts,,terry's nail,White Tongue,"Vitamin B1 Deficiency, Vitamin A Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,Acne or Breakouts,,white spot,,"Vitamin B12 Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,Acne or Breakouts,,white spot,Magenta Coloured Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
